Sentence,label
I only test the public interface but I have been known to make specific private methods protected so I can either mock them out entirely or add in additional steps specific for unit testing purposes,0
A general case is to hook in flags I can set from the unit test to make certain methods intentionally cause an exception to be able to test fault paths ; the exception triggering code is only in the test path in an overridden implementation of the protected method,0
I minimize the need for this though and I always document the precise reasons to avoid confusion,0
I am not sure whether this is a good technique but I developed the following pattern to unit test private methods I dont modify the visibility of the method that I want to test and add an additional method,1
Instead I am adding an additional public method for every private method I want to test,0
I call this additional method <code>Test-Port</code> and denote them with the prefix <code>t_</code>,0
This <code>Test-Port</code> method then simply accesses the according private method,1
Additionally I add a boolean flag to the <code>Test-Port</code> method to decide whether I grant access to the private method through the <code>Test-Port</code> method from outside,0
This flag is then set globally in a static class where I place eg other global settings for the application,0
So I can switch the access to the private methods on and off in one place eg in the corresponding unit test,0
JML has a spec_public comment annotation syntax that allows you to specify a method as public during tests This syntax is discussed at http//wwweecsucfedu/~leavens/JML/jmlrefman/jmlrefman_2html#SEC12,1
There also exists a program that translates JML specifications into JUnit tests,1
I m not sure how well that works or what its capabilities are but it doesnt appear to be necessary since JML is a viable testing framework on its own,0
Today I pushed a library to help testing private methods and fields,0
It has been designed with Android in mind but it can really be used for any Java project,1
If you got some code with private methods or fields or constructors you can use BoundBox,1
It does exactly what you are looking for,0
Here below is an example of a test that accesses two private fields of an Android activity to test it BoundBox makes it easy to test private/protected fields methods and constructors,0
You can even access stuff that is hidden by inheritance,0
Indeed BoundBox breaks encapsulation,1
It will give you access to all that through reflection BUT everything is checked at compile time,1
It is ideal for testing some legacy code,1
As others have said dont test private methods directly,0
Here are a few thoughts Run the code coverage on the unit tests,0
If you see that methods are not fully tested add to the tests to get the coverage up,0
Aim for 100 % code coverage but realize that you probably wo nt get it,0
You can turn off access restrictions for reflection so that private means nothing,0
The <code>setAccessible(true)</code> call does that,1
The only restriction is that a ClassLoader may disallow you from doing that,1
See Subverting Java Access Protection for Unit Testing Ross Burton for a way to do this in Java,0
In C# you could have used <code>SystemReflection</code> though in Java I dont know,0
Though I feel the urge to answer this anyway since if you `` feel you need to unit test private methods my guess is that there is something else which is wrong I would seriously consider looking at my architecture again with fresh eyes,1
What if your test <code>src</code> are in the same package as the class that should be tested ?,0
But in a different directory of course <code>classes</code> & <code>test/src</code> for your source code test/CODE _ ELEMENT_NN and test/CODE _ ELEMENT_NN for your test <code>test/classes</code>,0
And let <code>classes</code> and test be in your classpath,0
I have used reflection to do this in the past and in my opinion it was a big mistake,1
Strictly speaking you should not be writing unit tests that directly test private methods,1
What you should be testing is the public contract that the class has with other objects ; you should never directly test an object s internals,1
If another developer wants to make a small internal change to the class which doesnt affect the classes public contract he/she then has to modify your reflection based test to ensure that it works,0
If you do this repeatedly throughout a project unit tests then stop being a useful measurement of code health and start to become a hindrance to development and an annoyance to the development team,0
What I recommend doing instead is using a code coverage tool such as Cobertura to ensure that the unit tests you write provide decent coverage of the code in private methods,1
That way you indirectly test what the private methods are doing and maintain a higher level of agility,0
Just two examples of where I would want to test a private method I understand the idea of only testing the `` contract,0
But I dont see one can advocate actually not testing code - your mileage may vary,0
So my tradeoff involves complicating the JUnits with reflection rather than compromising my security & SDK,1
To test legacy code with large and quirky classes it is often very helpful to be able to test the one private or public method I m writing right now,1
I use the junitxutilPrivateAccessor - package,0
Right many alternatives listed the easiest and cleanest would be just using the enhanced for statement as below the Expression is of some type that is iterable,1
For example to iterate through List ids we can simply so,0
The basic loop is not recommended as you do not know the implementation of the list,1
If that was a LinkedList each call to would be iterating over the list resulting in N ^ 2 time complexity,1
In Java 8 collection classes that implement <code>Iterable</code> for example all lists now have <code>forEach</code> method The above example makes use of method-reference introduced in Java 8,1
We can also iterate over a list using Stream as The advantage with later option is that we can also make use of parallel streams wherever appropriate,1
If the objective is only to print the items irrespective of the order then we can use parallel stream as,0
For a backward search you should use the following If you want to know a position use iteratorpreviousIndex,1
It also helps to write an inner loop that compares two positions in the list iterators are not equal,1
I think a better approach than setting the platform s default character set especially as you seem to have restrictions on affecting the application deployment let alone the platform is to call the much safer <code>StringgetBytes(charsetName)</code>,1
That way your application is not dependent on things beyond its control,0
I personally feel that <code>StringgetBytes()</code> should be deprecated as it has caused serious problems in a number of cases I have seen where the developer did not account for the default charset possibly changing,1
Unfortunately the <code>fileencoding</code> property has to be specified as the JVM starts up ; by the time your main method is entered the character encoding used by <code>StringgetBytes()</code> and the default constructors of <code>InputStreamReader</code> and <code>OutputStreamWriter</code> has been permanently cached,1
As Edward Grech points out in a special case like this the environment variable <code>JAVA_TOOL_OPTIONS</code> can be used to specify this property but it s normally done like this <code>CharsetdefaultCharset()</code> will reflect changes to the <code>fileencoding</code> property but most of the code in the core Java libraries that need to determine the default character encoding do not use this mechanism,1
When you are encoding or decoding you can query the <code>fileencoding</code> property or <code>CharsetdefaultCharset()</code> to find the current default encoding and use the appropriate method or constructor overload to specify it,1
Not clear on what you do and dont have control over at this point,0
